"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984759","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BRICK 71 CONSTRUCCIONES","L","LEGAL","GODOY CRUZ","1577","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984761","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SONORA CONSTRUCCIONES","L","LEGAL","SALGUERO","2686","CAPITAL FEDERAL","",""
"1984762","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KRITERIO MUSIC","L","LEGAL","TALCAHUANO","973","CAPITAL FEDERAL","CAPITAL FEDERAL","1013"
"1984763","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FARLANGA","L","LEGAL","MONROE","4501","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984764","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ETP LOGISTICA","L","LEGAL","CORRIENTES AV.","1463","CAPITAL FEDERAL","CAPITAL FEDERAL","1042"
"1984765","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FREIA","L","LEGAL","LARRALDE CRISOLOGO","3035","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984766","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO INMOBILIARIO BOULEVARD CHIVILCOY","L","LEGAL","MERCEDES","3880","CAPITAL FEDERAL","",""
"1984767","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO ORION","L","LEGAL","CARLOS CALVO","954","CAPITAL FEDERAL","",""
"1984768","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO INMOBILIARIO AORA BELLA VISTA","L","LEGAL","MERCEDES","3880","CAPITAL FEDERAL","",""
"1984771","100","ASOCIACION CIVIL","MOVIMIENTO ORGANIZADO DE VETERANOS DE GUERRA T.O.A.S ASO CIV","L","LEGAL","CARLOS CALVO","2833","CAPITAL FEDERAL","",""
"1984772","50","SOC. ANONIMA","TRANSPORTE BAUTY","L","LEGAL","PIEDRAS","456","CAPITAL FEDERAL","CAPITAL FEDERAL","1070"
"1984773","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESTUDIO 3C","L","LEGAL","TALCAHUANO","1289","CAPITAL FEDERAL","CAPITAL FEDERAL","1014"
"1984777","50","SOC. ANONIMA","POLO HAUSS","L","LEGAL","CLAY","2914","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984779","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","J&C ASOCIADOS","L","LEGAL","FERRE","6536","CAPITAL FEDERAL","CAPITAL FEDERAL","1439"
"1984780","50","SOC. ANONIMA","STREAM NEST","L","LEGAL","NAZARRE","4636","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1984781","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HOBRASREPUESTOS","L","LEGAL","PEDRO GOYENA","1485","CAPITAL FEDERAL","",""
"1984782","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DUE CONSTRUCCIONES","L","LEGAL","GUAMINI","5677","CAPITAL FEDERAL","CAPITAL FEDERAL","1439"
"1984783","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CAEIRO INDUSTRIA, HOGAR Y OBRA","L","LEGAL","AVENIDA RIVADAVIA","4117","CAPITAL FEDERAL","",""
"1984784","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NAPOLETANA","L","LEGAL","BOLIVIA","2968","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1984785","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","M DISTRIBUIDORA","L","LEGAL","INCLAN","2675","CAPITAL FEDERAL","CAPITAL FEDERAL","1258"
"1984786","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LEVY TEXTIL","L","LEGAL","PUEYRREDON AV.","830","CAPITAL FEDERAL","CAPITAL FEDERAL","1032"
"1984787","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TRADING ACADEMIA","L","LEGAL","BUSCHIAZZO JUAN A PJE.","3076","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984788","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CRICASS","L","LEGAL","ALVAREZ JULIAN","2335","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984789","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CLUB HOUSE BRAGADO","L","LEGAL","BILLINGHURST","1774","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984790","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LARRIEGUI","L","LEGAL","JUNCAL","2223","CAPITAL FEDERAL","CAPITAL FEDERAL","1125"
"1984792","50","SOC. ANONIMA","TOKIOS","L","LEGAL","CALLAO AV.","1200","CAPITAL FEDERAL","CAPITAL FEDERAL","1023"
"1984793","50","SOC. ANONIMA","EXPERIENCIAS TEMPORALES","L","LEGAL","SAN NICOLAS","4863","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984794","50","SOC. ANONIMA","BAIL","L","LEGAL","CULLEN","5824","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984795","50","SOC. ANONIMA","IMHP","L","LEGAL","URUGUAY","772","CAPITAL FEDERAL","CAPITAL FEDERAL","1015"
"1984796","50","SOC. ANONIMA","FOOD & ROCK","L","LEGAL","SARMIENTO","1371","CAPITAL FEDERAL","CAPITAL FEDERAL","1041"
"1984797","50","SOC. ANONIMA","NEUMATICOS LAS TOSCAS","L","LEGAL","FRAY J. SANTAMARIA DE ORO","2652","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984798","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PINA BIKE","L","LEGAL","MEMBRILLAR","311","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984800","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TRANSPORTE BARA","L","LEGAL","DE LA PLAZA VICTORINO","1366","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984801","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KILSERVI","L","LEGAL","PANAMA","933","CAPITAL FEDERAL","CAPITAL FEDERAL","1185"
"1984802","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALMUERZO DESNUDO","L","LEGAL","RAMIREZ DE VELAZCO JUAN","1201","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984803","50","SOC. ANONIMA","TELBIN","L","LEGAL","MORENO","794","CAPITAL FEDERAL","CAPITAL FEDERAL","1091"
"1984804","50","SOC. ANONIMA","SCALA M2 DESARROLLA Y CONSTRUYE","L","LEGAL","MOREAU DE JUSTO ALICIA AV.","1050","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1984805","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AGROGANADERA DON LUIS","L","LEGAL","PASO","490","CAPITAL FEDERAL","",""
"1984806","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HALITE CONSULTORES","L","LEGAL","VIDT","2198","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984807","100","ASOCIACION CIVIL","DEJANDO HUELLAS ASOCIACION CIVIL","L","LEGAL","AVENIDA PIEDRA BUENA MANZANA 28 CASA 35","3356","CAPITAL FEDERAL","",""
"1984809","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CARRIER HOME","L","LEGAL","ARTIGAS MANUEL DE","5620","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984811","50","SOC. ANONIMA","COMPLEJO PUERTO ARENA","L","LEGAL","ASUNCION","3192","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984812","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GIALIA","L","LEGAL","AV. NAZCA","4019","CAPITAL FEDERAL","",""
"1984814","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HAKA SOLUTIONS","L","LEGAL","LEGUIZAMON MARTINIANO","14","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984815","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HELP 24 HORAS","L","LEGAL","MAZA","146","CAPITAL FEDERAL","CAPITAL FEDERAL","1206"
"1984816","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","EDCOEXPRESS","L","LEGAL","NEWBERY JORGE","1650","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984817","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO SURENESS","L","LEGAL","FLORIDA","253","CAPITAL FEDERAL","CAPITAL FEDERAL","1005"
"1984818","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ITC400 RELIVE","L","LEGAL","SAN BLAS","2870","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984819","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO MARTING","L","LEGAL","ORTIZ DE OCAMPO","2523","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984821","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CENTAUROS CONTROL DE ADMISION Y PERMANENCIA","L","LEGAL","LA RIOJA","726","CAPITAL FEDERAL","CAPITAL FEDERAL","1221"
"1984822","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FIDUCIARIA COSTA DUNAS","L","LEGAL","RECONQUISTA","336","CAPITAL FEDERAL","CAPITAL FEDERAL","1003"
"1984823","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LOGISTICA DEVOTO","L","LEGAL","ZUVIRIA","2336","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984824","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SABOR CAFE","L","LEGAL","CERRITO","1266","CAPITAL FEDERAL","",""
"1984825","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BIOHOME","L","LEGAL","ALSINA ADOLFO","943","CAPITAL FEDERAL","CAPITAL FEDERAL","1088"
"1984826","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BCG ASOCIADOS","L","LEGAL","LAS CASAS","3404","CAPITAL FEDERAL","CAPITAL FEDERAL","1238"
"1984827","50","SOC. ANONIMA","PM GASTRONOMIA","L","LEGAL","CAMPOS SALLES","2018","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984830","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MEI¥Z COMICS Y ANIME","L","LEGAL","PICHINCHA","685","CAPITAL FEDERAL","CAPITAL FEDERAL","1219"
"1984831","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO TIGREAZUL","L","LEGAL","THAMES","1046","CAPITAL FEDERAL","",""
"1984832","175","CONTRATO DE FIDEICOMISO","BAVARIAN CASTLE","L","LEGAL","AV. RIVADAVIA","5126","CAPITAL FEDERAL","",""
"1984833","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO ORTOPEDIA MODELO 5028","L","LEGAL","BLANCO ENCALADA","5028","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984836","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","THE GOAL","L","LEGAL","AZURDUY JUANA","2341","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984837","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LOS GARDELITOS","L","LEGAL","FORMOSA","353","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984839","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TRAZAR SISTEMAS","L","LEGAL","MONTIEL","2147","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984841","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MATERIALES Y HORMIGONES JV","L","LEGAL","QUINQUELA MARTIN B.","777","CAPITAL FEDERAL","CAPITAL FEDERAL","1167"
"1984842","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO DE ADMINISTRACION FAMILIAR CARBALLINO","L","LEGAL","MOZART","394","CAPITAL FEDERAL","",""
"1984843","50","SOC. ANONIMA","BAVSA FONDOS","L","LEGAL","25 DE MAYO","375","CAPITAL FEDERAL","CAPITAL FEDERAL","1002"
"1984847","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VEALTO","L","LEGAL","TRIUNVIRATO AV.","2962","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984848","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FARMA GRECO","L","LEGAL","MOLDES","2925","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984849","50","SOC. ANONIMA","BACS BROKER SOCIEDAD DE PRODUCTORES ASESORES DE SEGUROS","L","LEGAL","HONDURAS","5550","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984850","50","SOC. ANONIMA","SOLUCIONES LOGISTICAS AGRICOLAS","L","LEGAL","LA PAMPA","1391","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984851","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NEOFLEX","L","LEGAL","AMENABAR","3240","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984852","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MOSHU SAAVEDRA","L","LEGAL","MOLDES","3802","CAPITAL FEDERAL","",""
"1984853","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AQUPET","L","LEGAL","ELPIDIO GONZALEZ","5885","CAPITAL FEDERAL","",""
"1984854","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO DQPR APARTMENTS","L","LEGAL","25 DE MAYO","277","CAPITAL FEDERAL","",""
"1984857","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO DE ADMINISTRACION MORA","L","LEGAL","GUTENBERG","3981","CAPITAL FEDERAL","",""
"1984858","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MASARTEC","L","LEGAL","JUAN RAMIREZ VELAZCO","560","CAPITAL FEDERAL","",""
"1984859","50","SOC. ANONIMA","PUAN 2280","L","LEGAL","PUAN","1432","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984860","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HARDTRUCK","L","LEGAL","ZAPIOLA","1961","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984861","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","WELL ASSISTANCE","L","LEGAL","LEIVA","4070","CAPITAL FEDERAL","",""
"1984862","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AF12 GROUP","L","LEGAL","DIAZ CNEL. AV.","1547","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984863","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ISLA FEST","L","LEGAL","MOLDES","2855","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984865","50","SOC. ANONIMA","LOGISTICA ISLAS MALVINAS","L","LEGAL","DE LA ROZA, JOSE IGNACIO","7151","CAPITAL FEDERAL","CAPITAL FEDERAL","1439"
"1984866","50","SOC. ANONIMA","HENAYAC INSUMOS MEDICOS","L","LEGAL","MONTEVIDEO","765","CAPITAL FEDERAL","CAPITAL FEDERAL","1019"
"1984867","50","SOC. ANONIMA","GLORIA HERRERA","L","LEGAL","MEXICO","1348","CAPITAL FEDERAL","CAPITAL FEDERAL","1097"
"1984868","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VERDERMOSO","L","LEGAL","OHIGGINS","4617","CAPITAL FEDERAL","",""
"1984869","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AMAZONAS PAISAJISMO","L","LEGAL","AVENIDA DIRECTORIO","211","CAPITAL FEDERAL","",""
"1984870","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","EXATIO AWAY","L","LEGAL","LACROZE FEDERICO AV.","3080","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984873","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KOBAN","L","LEGAL","EL SALVADOR","4644","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984875","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TIBU PAISAJISMO","L","LEGAL","DIRECTORIO AV.","211","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984877","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GENADY","L","LEGAL","FALCON RAMON L CNEL","7231","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984879","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ART & LOVE","L","LEGAL","CABELLO","3352","CAPITAL FEDERAL","",""
"1984880","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PATUNOR 6102","L","LEGAL","PIZARRO","6105","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984881","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MERX","L","LEGAL","GIRIBONE","650","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984882","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NUEVA ATENEA","L","LEGAL","SUIPACHA","967","CAPITAL FEDERAL","CAPITAL FEDERAL","1008"
"1984883","50","SOC. ANONIMA","FLINKIN","L","LEGAL","FALCON RAMON L CNEL","5748","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984884","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DE PIES A CABEZA","L","LEGAL","MONTEVIDEO","527","CAPITAL FEDERAL","CAPITAL FEDERAL","1019"
"1984886","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LYSON","L","LEGAL","BILLINGHURST","1910","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984887","50","SOC. ANONIMA","TRANSPORTE CABA","L","LEGAL","TACUARI","478","CAPITAL FEDERAL","CAPITAL FEDERAL","1071"
"1984888","50","SOC. ANONIMA","MDO CONSTRUCCIONES","L","LEGAL","TILCARA","3188","CAPITAL FEDERAL","CAPITAL FEDERAL","1437"
"1984889","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","JORBALT COMERCIAL","L","LEGAL","ANDONAEGUI","2485","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984890","50","SOC. ANONIMA","REPUESTOS ROQUE PEREZ","L","LEGAL","LAVALLE","715","CAPITAL FEDERAL","CAPITAL FEDERAL","1047"
"1984891","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TECNO CORP","L","LEGAL","ESMERALDA","315","CAPITAL FEDERAL","CAPITAL FEDERAL","1035"
"1984892","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALIANZE INTERNACION DOMICILIARIA","L","LEGAL","SUIPACHA","1022","CAPITAL FEDERAL","",""
"1984893","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DKGN","L","LEGAL","LORETO VIRREY","1703","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984894","50","SOC. ANONIMA","ON SECURITY CONO SUR","L","LEGAL","CONGRESO AV.","2554","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984895","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PROYECTOS INTEGRALES PUBLICITARIOS","L","LEGAL","CAMPOS LUIS MARIA AV","1053","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984896","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MENTECH","L","LEGAL","ALBERDI JUAN BAUTISTA AV.","7279","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984897","50","SOC. ANONIMA","OPG DESARROLLOS","L","LEGAL","LUCA ESTEBAN DE","1535","CAPITAL FEDERAL","CAPITAL FEDERAL","1246"
"1984899","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BAU LOGISTICS","L","LEGAL","LIBERTADOR DEL AV.","8330","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984901","50","SOC. ANONIMA","COLMAN SOLUTIONS","L","LEGAL","TACUARI","1575","CAPITAL FEDERAL","CAPITAL FEDERAL","1139"
"1984902","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","RMSM","L","LEGAL","SCALABRINI ORTIZ","639","CAPITAL FEDERAL","",""
"1984903","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PAW CONECTION","L","LEGAL","CHARCAS","2715","CAPITAL FEDERAL","",""
"1984904","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DULCEX","L","LEGAL","MIGUELETES","1231","CAPITAL FEDERAL","",""
"1984906","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CENTRAL EYES","L","LEGAL","BRAGADO","5843","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984907","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","REVERDESUR","L","LEGAL","MAZA","1253","CAPITAL FEDERAL","CAPITAL FEDERAL","1240"
"1984908","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","INSYS WORLD","L","LEGAL","NUEVA YORK","2415","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984909","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","POLARG","L","LEGAL","GALICIA","1055","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984910","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GLEE","L","LEGAL","ARENALES","1258","CAPITAL FEDERAL","CAPITAL FEDERAL","1061"
"1984911","50","SOC. ANONIMA","MDZ LOGISTICOMEX","L","LEGAL","AVENIDA DEL LIBERTADOR","6595","CAPITAL FEDERAL","",""
"1984912","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GAFAS BUENOS AIRES","L","LEGAL","CUENCA","4650","CAPITAL FEDERAL","",""
"1984916","50","SOC. ANONIMA","GRUPO MAGE","L","LEGAL","CORRIENTES AV.","2910","CAPITAL FEDERAL","CAPITAL FEDERAL","1193"
"1984918","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SYNERGY FOOD","L","LEGAL","CUENCA","4650","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984920","50","SOC. ANONIMA","H.V. COLON","L","LEGAL","LAVALLE","1570","CAPITAL FEDERAL","CAPITAL FEDERAL","1048"
"1984921","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DESSUS","L","LEGAL","LAVALLE","1567","CAPITAL FEDERAL","CAPITAL FEDERAL","1048"
"1984923","50","SOC. ANONIMA","H.V. ADROGUE","L","LEGAL","LAVALLE","1570","CAPITAL FEDERAL","CAPITAL FEDERAL","1048"
"1984924","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SPECIAL DIGITAL SOLUTIONS","L","LEGAL","AMENABAR","369","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984925","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MILOTRE","L","LEGAL","3 DE FEBRERO","2318","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984926","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","JAMAL.EM","L","LEGAL","AZCUENAGA","1659","CAPITAL FEDERAL","CAPITAL FEDERAL","1128"
"1984927","50","SOC. ANONIMA","ELISAB","L","LEGAL","CORDOBA AV.","1335","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1984930","50","SOC. ANONIMA","CRFA CONSTRUCCIONES","L","LEGAL","CORDOBA AV.","1332","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1984931","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TELAS DE CAROLA","L","LEGAL","MARTINEZ ENRIQUE GRAL.","1961","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1984932","50","SOC. ANONIMA","ATOM BIKES","L","LEGAL","LAMBARE","1251","CAPITAL FEDERAL","CAPITAL FEDERAL","1185"
"1984933","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ROES MEDICAL","L","LEGAL","NEUQUEN","1881","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984940","50","SOC. ANONIMA","SALUD BIENESTAR RANELAGH","L","LEGAL","ACOYTE","721","CAPITAL FEDERAL","",""
"1984941","170","UNION TRANSITORIA","SISTEMATIS S.A. - TECNO AZAR S.A. - UNION TRANSITORIA","L","LEGAL","FITZ ROY","1683","CAPITAL FEDERAL","",""
"1984943","50","SOC. ANONIMA","NEWPORT SHIPPING LINES","L","LEGAL","PELLEGRINI CARLOS","651","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984946","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ACADEMIAACIA","L","LEGAL","CORRIENTES AV.","5810","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984948","50","SOC. ANONIMA","NATU FAN","L","LEGAL","CALLAO AV.","1493","CAPITAL FEDERAL","CAPITAL FEDERAL","1024"
"1984949","50","SOC. ANONIMA","PUGLIESE PUGLIESE","L","LEGAL","CORDOBA AV.","1760","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1984950","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ARKION","L","LEGAL","SAENZ PENA R. PTE. AV.","943","CAPITAL FEDERAL","CAPITAL FEDERAL","1035"
"1984951","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LIMPTRAP","L","LEGAL","BONORINO ESTEBAN CNEL.","3553","CAPITAL FEDERAL","CAPITAL FEDERAL","1437"
"1984952","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","UBRIX","L","LEGAL","NUEVA YORK","3525","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984954","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","REPUESTOS MATADEROS","L","LEGAL","ALBERDI JUAN BAUTISTA AV.","7270","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984956","50","SOC. ANONIMA","AMUNT","L","LEGAL","GAVILAN","4816","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984958","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NOSTI","L","LEGAL","RIVERA PEDRO IGNACIO DR.","3916","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1984961","170","UNION TRANSITORIA","ALYA CONSTRU S.A. - CENTRO CONSTRUCC S.A.- UT - ARROYO DUPPY","L","LEGAL","MANUELA SAENZ","323","CAPITAL FEDERAL","",""
"1984963","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ATTREVERSIAMO","L","LEGAL","ROSARIO","11","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984964","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","STRENIA","L","LEGAL","MANSO JUANA","1590","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1984965","50","SOC. ANONIMA","TUMAY","L","LEGAL","SANTA FE AV.","1611","CAPITAL FEDERAL","CAPITAL FEDERAL","1060"
"1984967","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HIERROS Y MATERIALES","L","LEGAL","A¥ASCO","2806","CAPITAL FEDERAL","",""
"1984968","50","SOC. ANONIMA","CREXBOR","L","LEGAL","CIPOLLETTI PJE.","548","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984969","50","SOC. ANONIMA","TRANSPORTES VALMA","L","LEGAL","RODO JOSE ENRIQUE","4226","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1984970","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","RC ESTUDIO INTEGRAL","L","LEGAL","CHIVILCOY","4982","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984971","50","SOC. ANONIMA","MANIC SALUD","L","LEGAL","DEHEZA","2370","CAPITAL FEDERAL","",""
