"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984602","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AMERIVISA","L","LEGAL","BEIRO FRANCISCO AV.","4416","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984604","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","EL ENCUENTRO J&V","L","LEGAL","CUENCA","3446","CAPITAL FEDERAL","",""
"1984605","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WILDVERY DENIM","L","LEGAL","CONCORDIA","581","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1984606","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LUPGUARD PRO","L","LEGAL","LAVALLE","1718","CAPITAL FEDERAL","CAPITAL FEDERAL","1048"
"1984608","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CENTRO HOLISTICO LUZ BLANCA","L","LEGAL","CAMACUA","20","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984609","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LB GROUP","L","LEGAL","SUIPACHA","128","CAPITAL FEDERAL","CAPITAL FEDERAL","1008"
"1984611","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FABATEX","L","LEGAL","JOSE LEON SUAREZ","5035","CAPITAL FEDERAL","",""
"1984612","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","EQUINOR ARGENTINA","L","LEGAL","CECILIA GRIERSON","255","CAPITAL FEDERAL","",""
"1984613","50","SOC. ANONIMA","DITTAS FOUR","L","LEGAL","MALABIA","2127","CAPITAL FEDERAL","",""
"1984614","50","SOC. ANONIMA","HIDRUM","L","LEGAL","LIBERTADOR DEL AV.","5746","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984615","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LADRAN SANCHO CERVECERIA Y MALTERIA","L","LEGAL","FIGUEROA APOLINARIO CNEL.","1337","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984616","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PLAN DIGITAL","L","LEGAL","ERASMO","7332","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984617","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CLEVEN","L","LEGAL","TUCUMAN","924","CAPITAL FEDERAL","CAPITAL FEDERAL","1049"
"1984618","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TERSANE","L","LEGAL","SANTA FE AV.","3954","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984619","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CENTRO DE DIA PUENTES","L","LEGAL","SANTA FE AV.","2843","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984620","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SGB HNOS.","L","LEGAL","BEAUCHEF","1143","CAPITAL FEDERAL","",""
"1984621","50","SOC. ANONIMA","REDIMER ARGENTINA","L","LEGAL","PORTELA","886","CAPITAL FEDERAL","",""
"1984622","50","SOC. ANONIMA","RUEDAS SUR","L","LEGAL","TACUARI","478","CAPITAL FEDERAL","CAPITAL FEDERAL","1071"
"1984623","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","N-C SERVICIOS","L","LEGAL","INDEPENDENCIA AV.","3399","CAPITAL FEDERAL","CAPITAL FEDERAL","1225"
"1984624","50","SOC. ANONIMA","CONTROL CARGO","L","LEGAL","LAVAISSE BENJAMIN J.","1329","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1984625","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HUMANTEK","L","LEGAL","UGARTE MANUEL","2393","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984626","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FAHERYA TRUCKS","L","LEGAL","TACUARI","478","CAPITAL FEDERAL","CAPITAL FEDERAL","1071"
"1984627","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","STAREX","L","LEGAL","TERRADA","752","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984633","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO AMB","L","LEGAL","AV. DEL LIBERTADOR","7050","CAPITAL FEDERAL","",""
"1984634","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO QUILBEB SUR S.A.","L","LEGAL","JUANA MANSO","1830","CAPITAL FEDERAL","",""
"1984635","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SOCIAL DATA","L","LEGAL","MOLDES","2255","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984636","50","SOC. ANONIMA","COCHE COMEDOR","L","LEGAL","COMBATE DE LOS POZOS","295","CAPITAL FEDERAL","CAPITAL FEDERAL","1080"
"1984637","50","SOC. ANONIMA","SIETE QUINCE","L","LEGAL","ALVEAR MARCELO T DE","624","CAPITAL FEDERAL","CAPITAL FEDERAL","1058"
"1984639","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BRAVA KIDS","L","LEGAL","FERNANDEZ MACEDONIO","5680","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984641","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LINUM DESIGN","L","LEGAL","PUEYRREDON HONORIO DR. AV","1050","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1984642","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DUK SERVICIOS","L","LEGAL","URUGUAY","229","CAPITAL FEDERAL","CAPITAL FEDERAL","1015"
"1984643","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NUVO DIGITAL","L","LEGAL","BLANCO ENCALADA","2311","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984644","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","THESAR","L","LEGAL","LAPRIDA","1360","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984647","50","SOC. ANONIMA","PARQUEMED","L","LEGAL","AVENIDA EVA PERON","5992","CAPITAL FEDERAL","",""
"1984648","100","ASOCIACION CIVIL","ASOCIACION DE SURFSKATE Y CARVING ASOCIACION CIVIL","L","LEGAL","PARANA","552","CAPITAL FEDERAL","",""
