"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","fecha_balance","fecha_presentacion","capital_informado"
"1938453","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PANDA WORLD","20190331","20220222","21400,00"
"1938453","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PANDA WORLD","20210331","20220221","21400,00"
"1938522","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RUFUS TECHNOLOGIES","20220331","20230201","21400,00"
"1938522","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RUFUS TECHNOLOGIES","20210331","20230201","21400,00"
"1938522","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RUFUS TECHNOLOGIES","20200331","20230201","21400,00"
"1938532","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","INGEXTERNA","20201031","20221111","21400,00"
"1938532","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","INGEXTERNA","20191031","20221111","21400,00"
"1938532","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","INGEXTERNA","20211031","20221111","21400,00"
"1938536","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NKL","20211031","20230111","21400,00"
"1938536","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NKL","20201031","20221117","21400,00"
"1938549","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PLATAFORMA LOGISTICA","20201231","20210923","100000,00"
"1938571","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GLOBAL 21 VIVIR EL IDIOMA","20211231","20230106","21400,00"
"1938738","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RIMA STUDIO","20201231","20210729","22600,00"
"1938793","50","SOC. ANONIMA","GOR ENERGY","20190630","20210430","2000000,00"
"1938793","50","SOC. ANONIMA","GOR ENERGY","20200630","20210430","2000000,00"
"1938811","80","SOCIEDAD EXTRANJERA","TK AIRPORT SOLUTIONS S.A.","20210930","20220503","0,00"
"1938811","80","SOCIEDAD EXTRANJERA","TK AIRPORT SOLUTIONS S.A.","20190930","20210714","0,00"
"1938811","80","SOCIEDAD EXTRANJERA","TK AIRPORT SOLUTIONS S.A.","20200930","20210614","664170,47"
"1938821","100","ASOCIACION CIVIL","PARA EL PROGRESO DE LA TECNOLOGIA MEDICA DE TEJIDOS","20201231","20210825","0,00"
"1938821","100","ASOCIACION CIVIL","PARA EL PROGRESO DE LA TECNOLOGIA MEDICA DE TEJIDOS","20191231","20210825","0,00"
"1938861","110","FUNDACION","LOS GIRASOLES","20191231","20211101","0,00"
"1938861","110","FUNDACION","LOS GIRASOLES","20201231","20211101","0,00"
"1938867","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GESTALT CONSULTORES","20211031","20230111","25000,00"
"1938867","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GESTALT CONSULTORES","20201031","20230110","25000,00"
"1938896","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DAC SYSTEMS","20211231","20221111","25000,00"
"1938896","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DAC SYSTEMS","20201231","20221103","25000,00"
"1939049","50","SOC. ANONIMA","SOLARES DE CABALLITO","20190630","20221114","100000,00"
"1939049","50","SOC. ANONIMA","SOLARES DE CABALLITO","20210630","20221114","100000,00"
"1939049","50","SOC. ANONIMA","SOLARES DE CABALLITO","20200630","20221114","100000,00"
"1939069","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BLUMAS","20201231","20211221","25000,00"
"1939076","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SEEDERS","20211231","20220729","25000,00"
"1939076","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SEEDERS","20201231","20210723","25000,00"
"1939192","50","SOC. ANONIMA","FACTOR CLAVE","20211231","20221025","100000,00"
"1939192","50","SOC. ANONIMA","FACTOR CLAVE","20191231","20210219","100000,00"
"1939243","50","SOC. ANONIMA","MERCEDES-BENZ BROKER ARGENTINA","20211231","20221108","100000,00"
"1939243","50","SOC. ANONIMA","MERCEDES-BENZ BROKER ARGENTINA","20201231","20221101","100000,00"
"1939243","50","SOC. ANONIMA","MERCEDES-BENZ BROKER ARGENTINA","20191231","20221026","100000,00"
"1939282","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","FIDEMAS","20201031","20220204","25000,00"
"1939324","50","SOC. ANONIMA","AFFINITAS SAN GINES","20191231","20211012","500000,00"
"1939324","50","SOC. ANONIMA","AFFINITAS SAN GINES","20201231","20210929","500000,00"
