"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1946206","50","SOC. ANONIMA","CUSTODIAM SECURITY","O","Ordinaria","","20210426","20221213"
"1946206","50","SOC. ANONIMA","CUSTODIAM SECURITY","O","Ordinaria","","20220331","20221213"
"1946246","50","SOC. ANONIMA","E-CRUCE","O","Ordinaria","","20200430","20221129"
"1946246","50","SOC. ANONIMA","E-CRUCE","O","Ordinaria","","20210428","20221129"
"1946246","50","SOC. ANONIMA","E-CRUCE","O","Ordinaria","","20220502","20221129"
"1946259","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CARDIOS MEDICINA","O","Ordinaria","","20210420","20210910"
"1946259","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CARDIOS MEDICINA","O","Ordinaria","","20220516","20220929"
"1946358","100","ASOCIACION CIVIL","OMCA-ORGANIZACION MUSICOS CRISTIANOS ARGENTINOS ASOCIA CIVIL","O","Ordinaria","9464196","20220401","20221012"
"1946358","100","ASOCIACION CIVIL","OMCA-ORGANIZACION MUSICOS CRISTIANOS ARGENTINOS ASOCIA CIVIL","O","Ordinaria","9464199","20220923","20221012"
"1946358","100","ASOCIACION CIVIL","OMCA-ORGANIZACION MUSICOS CRISTIANOS ARGENTINOS ASOCIA CIVIL","O","Ordinaria","9502890","20221216","20230103"
"1946359","50","SOC. ANONIMA","ANGEL MOTHER","O","Ordinaria","","20191104","20200120"
"1946359","50","SOC. ANONIMA","ANGEL MOTHER","O","Ordinaria","","20201130","20201221"
"1946359","50","SOC. ANONIMA","ANGEL MOTHER","O","Ordinaria","","20211021","20220203"
"1946359","50","SOC. ANONIMA","ANGEL MOTHER","O","Ordinaria","","20220928","20221101"
