"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1943301","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","PE¥AVID","O","Ordinaria","9150225","20191216","20200619"
"1943304","50","SOC. ANONIMA","YAMAHA MOTOR PLAN ARGENTINA S.A. DE AHORR PARA FIN DETERMIN","O","Ordinaria","9220592","20210531","20210506"
"1943304","50","SOC. ANONIMA","YAMAHA MOTOR PLAN ARGENTINA S.A. DE AHORR PARA FIN DETERMIN","M","Mixta","9379840","20220530","20220428"
"1943314","50","SOC. ANONIMA","ALTO ONGAMIRA","O","Ordinaria","9239947","20200401","20210728"
"1943314","50","SOC. ANONIMA","ALTO ONGAMIRA","O","Ordinaria","9239952","20210420","20210728"
"1943316","110","FUNDACION","CHARIS ARGENTINA","O","Ordinaria","9383762","20220205","20220506"
"1943356","50","SOC. ANONIMA","MIT POWER","O","Ordinaria","","20200604","20210121"
"1943356","50","SOC. ANONIMA","MIT POWER","O","Ordinaria","","20210614","20210804"
"1943356","50","SOC. ANONIMA","MIT POWER","O","Ordinaria","","20220804","20220928"
"1943358","50","SOC. ANONIMA","GESER","O","Ordinaria","9156518","20200424","20200827"
"1943358","50","SOC. ANONIMA","GESER","O","Ordinaria","9225426","20210423","20210520"
"1943358","50","SOC. ANONIMA","GESER","O","Ordinaria","9362802","20220419","20220323"
"1943365","50","SOC. ANONIMA","CLASSE STELLE","O","Ordinaria","","20200902","20210218"
"1943365","50","SOC. ANONIMA","CLASSE STELLE","O","Ordinaria","","20210920","20211202"
"1943433","50","SOC. ANONIMA","PLANNEON","O","Ordinaria","","20200226","20210422"
"1943433","50","SOC. ANONIMA","PLANNEON","O","Ordinaria","","20210218","20210422"
"1943457","100","ASOCIACION CIVIL","MERLOT. S.C.","O","Ordinaria","9287470","20210927","20211006"
"1943457","100","ASOCIACION CIVIL","MERLOT. S.C.","O","Ordinaria","9287466","20210927","20211006"
"1943466","100","ASOCIACION CIVIL","SER SOLIDARIO","O","Ordinaria","9233167","20210420","20210628"
"1943466","100","ASOCIACION CIVIL","SER SOLIDARIO","O","Ordinaria","9233163","20210420","20210628"
"1943494","50","SOC. ANONIMA","SPARK ENERGY SOLUTIONS","O","Ordinaria","","20200629","20201016"
"1943494","50","SOC. ANONIMA","SPARK ENERGY SOLUTIONS","O","Ordinaria","","20210414","20210727"
